X,Y,X,Y,NRO,RAMO_O_C,TIPO,DATOS,IMAGEN,NROCOMP,CANAL,CODIGOCOMP,RAMO,CALLE,CANAL_PPAL,OBSERVACIO,icon_url
-68.359925,-31.775276,"2560720","6485060","0",Desde Canal Gral. 25 de Mayo,,,e:\hidraulica\compuertas-ramos\25 de mayo\canal gral. 25 de mayo\000_0331.gif,,"58","0",,Calle 16,Canal Gral. 25 de M,,
-68.359871,-31.775402,"2560725","6485046","0",Desde Canal Gral. 25 de Mayo,,,e:\hidraulica\compuertas-ramos\25 de mayo\canal gral. 25 de mayo\000_0332.gif,,"58","0",,Calle 16,Canal Gral. 25 de M,,
-68.362572,-31.786426,"2560462","6483825","0",Desde Canal Gral. 25 de Mayo,,,e:\hidraulica\compuertas-ramos\25 de mayo\canal gral. 25 de mayo\000_0333.gif,,"58","0",,Calle 16,Canal Gral. 25 de M,,
-68.362651,-31.786737,"2560461","6483794","0",Desde Canal Gral. 25 de Mayo,,,e:\hidraulica\compuertas-ramos\25 de mayo\canal gral. 25 de mayo\000_0335.gif,,"58","0",,Calle 16,Canal Gral. 25 de M,,
-68.364172,-31.793243,"2560306","6483070","0",Desde Canal Gral. 25 de Mayo,,,e:\hidraulica\compuertas-ramos\25 de mayo\canal gral. 25 de mayo\000_0336.gif,,"58","0",,Calle 16,Canal Gral. 25 de M,,
-68.364842,-31.795772,"2560241","6482790","0",Desde Canal Gral. 25 de Mayo,,,e:\hidraulica\compuertas-ramos\25 de mayo\canal gral. 25 de mayo\000_0338.gif,,"58","0",,Calle 16,Canal Gral. 25 de M,,
-68.365277,-31.798046,"2560193","6482538","0",Desde Canal Gral. 25 de Mayo,,,e:\hidraulica\compuertas-ramos\25 de mayo\canal gral. 25 de mayo\000_0339.gif,,"58","0",,Calle 16,Canal Gral. 25 de M,,
-68.365258,-31.798114,"2560197","6482535","0",Desde Canal Gral. 25 de Mayo,,,e:\hidraulica\compuertas-ramos\25 de mayo\canal gral. 25 de mayo\000_0340.gif,,"58","0",,Calle 16,Canal Gral. 25 de M,,
-68.366162,-31.801929,"2560112","6482108","0",Desde Canal Gral. 25 de Mayo,,,e:\hidraulica\compuertas-ramos\25 de mayo\canal gral. 25 de mayo\000_0341.gif,,"58","0",,Calle 16,Canal Gral. 25 de M,,
-68.366579,-31.803751,"2560061","6481909","0",Desde Canal Gral. 25 de Mayo,,,e:\hidraulica\compuertas-ramos\25 de mayo\canal gral. 25 de mayo\000_0342.gif,,"58","0",,Calle 16,Canal Gral. 25 de M,,
-68.368115,-31.809113,"2559937","6481296","0",Desde Canal Gral. 25 de Mayo,,,e:\hidraulica\compuertas-ramos\25 de mayo\canal gral. 25 de mayo\000_0344.gif,,"58","0",,Calle 16,Canal Gral. 25 de M,,
-68.367927,-31.80952,"2559929","6481269","0",Desde Canal Gral. 25 de Mayo,,,e:\hidraulica\compuertas-ramos\25 de mayo\canal gral. 25 de mayo\000_0345.gif,,"58","0",,Calle 16,Canal Gral. 25 de M,,
-68.2531,-31.73468,"2570870","6489497","0",Ramo Sec. calle 23,Compuerta Nº,,e:\hidraulica\compuertas-ramos\25 de mayo\ramo 23\000_0266.gif,,,"0",,Calle 23,Canal 1ra. Seccion,,
